"date","age_cat","n","percent"
2020-05-11,"40 to 59",1,1
2020-05-11,"60+",2,1
2020-05-12,"Under 15",1,1
2020-05-12,"15 to 39",2,1
2020-05-12,"40 to 59",0,NA
2020-05-12,"60+",1,1
2020-05-13,"Under 15",0,NA
2020-05-13,"15 to 39",4,1
2020-05-13,"40 to 59",0,NA
2020-05-13,"60+",2,1
2020-05-14,"Under 15",1,1
2020-05-14,"15 to 39",1,1
2020-05-14,"40 to 59",2,1
2020-05-14,"60+",2,1
2020-05-15,"Under 15",0,NA
2020-05-15,"15 to 39",3,1
2020-05-15,"40 to 59",1,1
2020-05-15,"60+",1,1
2020-05-16,"Under 15",0,NA
2020-05-16,"15 to 39",1,1
2020-05-16,"40 to 59",2,1
2020-05-16,"60+",0,NA
2020-05-17,"Under 15",1,1
2020-05-17,"15 to 39",0,NA
2020-05-17,"40 to 59",1,1
2020-05-17,"60+",0,NA
2020-05-18,"Under 15",1,1
2020-05-18,"15 to 39",1,1
2020-05-18,"40 to 59",2,1
2020-05-18,"60+",1,1
2020-05-19,"Under 15",0,NA
2020-05-19,"15 to 39",0,NA
2020-05-19,"40 to 59",0,NA
2020-05-19,"60+",4,1
2020-05-20,"Under 15",1,1
2020-05-20,"15 to 39",1,1
2020-05-20,"40 to 59",0,NA
2020-05-20,"60+",1,1
2020-05-21,"Under 15",0,NA
2020-05-21,"15 to 39",1,1
2020-05-21,"40 to 59",2,1
2020-05-21,"60+",1,1
2020-05-22,"Under 15",1,1
2020-05-22,"15 to 39",0,NA
2020-05-22,"40 to 59",5,1
2020-05-22,"60+",2,1
2020-05-23,"Under 15",1,1
2020-05-23,"15 to 39",0,NA
2020-05-23,"40 to 59",2,1
2020-05-23,"60+",4,1
2020-05-24,"Under 15",0,NA
2020-05-24,"15 to 39",0,NA
2020-05-24,"40 to 59",1,1
2020-05-24,"60+",1,1
2020-05-25,"Under 15",0,NA
2020-05-25,"15 to 39",3,1
2020-05-25,"40 to 59",1,1
2020-05-25,"60+",2,1
2020-05-26,"Under 15",0,NA
2020-05-26,"15 to 39",2,1
2020-05-26,"40 to 59",0,NA
2020-05-26,"60+",1,1
2020-05-27,"Under 15",0,NA
2020-05-27,"15 to 39",1,1
2020-05-27,"40 to 59",2,1
2020-05-27,"60+",1,1
2020-05-28,"Under 15",2,1
2020-05-28,"15 to 39",1,1
2020-05-28,"40 to 59",0,NA
2020-05-28,"60+",0,NA
2020-05-29,"Under 15",0,NA
2020-05-29,"15 to 39",1,1
2020-05-29,"40 to 59",0,NA
2020-05-29,"60+",2,1
2020-05-30,"Under 15",1,1
2020-05-30,"15 to 39",2,1
2020-05-30,"40 to 59",1,1
2020-05-30,"60+",0,NA
2020-05-31,"Under 15",0,NA
2020-05-31,"15 to 39",1,1
2020-05-31,"40 to 59",1,1
2020-05-31,"60+",0,NA
2020-06-01,"Under 15",1,1
2020-06-01,"15 to 39",1,1
2020-06-01,"40 to 59",2,1
2020-06-01,"60+",3,1
2020-06-02,"Under 15",1,1
2020-06-02,"15 to 39",0,NA
2020-06-02,"40 to 59",0,NA
2020-06-02,"60+",2,1
2020-06-03,"Under 15",1,1
2020-06-03,"15 to 39",3,1
2020-06-03,"40 to 59",1,1
2020-06-03,"60+",0,NA
2020-06-04,"Under 15",1,1
2020-06-04,"15 to 39",3,1
2020-06-04,"40 to 59",1,1
2020-06-04,"60+",0,NA
2020-06-05,"Under 15",0,NA
2020-06-05,"15 to 39",1,1
2020-06-05,"40 to 59",2,1
2020-06-05,"60+",0,NA
2020-06-06,"Under 15",0,NA
2020-06-06,"15 to 39",0,NA
2020-06-06,"40 to 59",4,1
2020-06-06,"60+",1,1
2020-06-07,"Under 15",1,1
2020-06-07,"15 to 39",0,NA
2020-06-07,"40 to 59",2,1
2020-06-07,"60+",0,NA
2020-06-08,"Under 15",2,1
2020-06-08,"15 to 39",0,NA
2020-06-08,"40 to 59",0,NA
2020-06-08,"60+",0,NA
2020-06-09,"Under 15",2,1
2020-06-09,"15 to 39",5,1
2020-06-09,"40 to 59",2,1
2020-06-09,"60+",2,1
2020-06-10,"Under 15",0,NA
2020-06-10,"15 to 39",1,1
2020-06-10,"40 to 59",1,1
2020-06-10,"60+",5,1
2020-06-11,"Under 15",0,NA
2020-06-11,"15 to 39",1,1
2020-06-11,"40 to 59",1,1
2020-06-11,"60+",3,1
2020-06-12,"Under 15",0,NA
2020-06-12,"15 to 39",2,1
2020-06-12,"40 to 59",3,1
2020-06-12,"60+",1,1
2020-06-13,"Under 15",0,NA
2020-06-13,"15 to 39",2,1
2020-06-13,"40 to 59",1,1
2020-06-13,"60+",1,1
2020-06-14,"Under 15",1,1
2020-06-14,"15 to 39",1,1
2020-06-14,"40 to 59",0,NA
2020-06-14,"60+",0,NA
2020-06-15,"Under 15",2,1
2020-06-15,"15 to 39",2,1
2020-06-15,"40 to 59",2,1
2020-06-15,"60+",0,NA
2020-06-16,"Under 15",1,1
2020-06-16,"15 to 39",1,1
2020-06-16,"40 to 59",0,NA
2020-06-16,"60+",0,NA
2020-06-17,"Under 15",1,1
2020-06-17,"15 to 39",0,NA
2020-06-17,"40 to 59",1,1
2020-06-17,"60+",4,1
2020-06-18,"Under 15",1,1
2020-06-18,"15 to 39",2,1
2020-06-18,"40 to 59",0,NA
2020-06-18,"60+",2,1
2020-06-19,"Under 15",2,1
2020-06-19,"15 to 39",1,1
2020-06-19,"40 to 59",0,NA
2020-06-19,"60+",0,NA
2020-06-20,"Under 15",1,1
2020-06-20,"15 to 39",3,1
2020-06-20,"40 to 59",1,1
2020-06-20,"60+",0,NA
2020-06-21,"Under 15",1,1
2020-06-21,"15 to 39",0,NA
2020-06-21,"40 to 59",0,NA
2020-06-21,"60+",2,1
2020-06-22,"Under 15",0,NA
2020-06-22,"15 to 39",2,1
2020-06-22,"40 to 59",1,1
2020-06-22,"60+",6,1
2020-06-23,"Under 15",0,NA
2020-06-23,"15 to 39",0,NA
2020-06-23,"40 to 59",0,NA
2020-06-23,"60+",3,1
2020-06-24,"Under 15",2,1
2020-06-24,"15 to 39",0,NA
2020-06-24,"40 to 59",0,NA
2020-06-24,"60+",0,NA
2020-06-25,"Under 15",0,NA
2020-06-25,"15 to 39",3,1
2020-06-25,"40 to 59",1,1
2020-06-25,"60+",3,1
2020-06-26,"Under 15",0,NA
2020-06-26,"15 to 39",0,NA
2020-06-26,"40 to 59",1,1
2020-06-26,"60+",1,1
2020-06-27,"Under 15",0,NA
2020-06-27,"15 to 39",0,NA
2020-06-27,"40 to 59",2,1
2020-06-27,"60+",3,1
2020-06-28,"Under 15",0,NA
2020-06-28,"15 to 39",4,1
2020-06-28,"40 to 59",5,1
2020-06-28,"60+",1,1
2020-06-29,"Under 15",0,NA
2020-06-29,"15 to 39",2,1
2020-06-29,"40 to 59",1,1
2020-06-29,"60+",3,1
2020-06-30,"Under 15",0,NA
2020-06-30,"15 to 39",1,1
2020-06-30,"40 to 59",1,1
2020-06-30,"60+",1,1
2020-07-01,"Under 15",0,NA
2020-07-01,"15 to 39",1,1
2020-07-01,"40 to 59",2,1
2020-07-01,"60+",6,1
2020-07-02,"Under 15",0,NA
2020-07-02,"15 to 39",4,1
2020-07-02,"40 to 59",1,1
2020-07-02,"60+",1,1
2020-07-03,"Under 15",1,1
2020-07-03,"15 to 39",0,NA
2020-07-03,"40 to 59",0,NA
2020-07-03,"60+",1,1
2020-07-04,"Under 15",0,NA
2020-07-04,"15 to 39",1,1
2020-07-04,"40 to 59",0,NA
2020-07-04,"60+",2,1
2020-07-05,"Under 15",0,NA
2020-07-05,"15 to 39",1,1
2020-07-05,"40 to 59",5,1
2020-07-05,"60+",2,1
2020-07-06,"Under 15",0,NA
2020-07-06,"15 to 39",1,1
2020-07-06,"40 to 59",3,1
2020-07-06,"60+",1,1
2020-07-07,"Under 15",0,NA
2020-07-07,"15 to 39",2,1
2020-07-07,"40 to 59",1,1
2020-07-07,"60+",1,1
2020-07-08,"Under 15",0,NA
2020-07-08,"15 to 39",0,NA
2020-07-08,"40 to 59",3,1
2020-07-08,"60+",0,NA
2020-07-09,"Under 15",0,NA
2020-07-09,"15 to 39",2,1
2020-07-09,"40 to 59",2,1
2020-07-09,"60+",4,1
2020-07-10,"Under 15",3,1
2020-07-10,"15 to 39",0,NA
2020-07-10,"40 to 59",0,NA
2020-07-10,"60+",1,1
2020-07-11,"Under 15",0,NA
2020-07-11,"15 to 39",1,1
2020-07-11,"40 to 59",0,NA
2020-07-11,"60+",3,1
2020-07-12,"Under 15",2,1
2020-07-12,"15 to 39",0,NA
2020-07-12,"40 to 59",0,NA
2020-07-12,"60+",1,1
2020-07-13,"Under 15",1,1
2020-07-13,"15 to 39",0,NA
2020-07-13,"40 to 59",1,1
2020-07-13,"60+",1,1
2020-07-14,"Under 15",0,NA
2020-07-14,"15 to 39",0,NA
2020-07-14,"40 to 59",0,NA
2020-07-14,"60+",5,1
2020-07-15,"Under 15",0,NA
2020-07-15,"15 to 39",1,1
2020-07-15,"40 to 59",4,1
2020-07-15,"60+",1,1
2020-07-16,"Under 15",0,NA
2020-07-16,"15 to 39",1,1
2020-07-16,"40 to 59",1,1
2020-07-16,"60+",1,1
2020-07-17,"Under 15",0,NA
2020-07-17,"15 to 39",0,NA
2020-07-17,"40 to 59",2,1
2020-07-17,"60+",5,1
2020-07-18,"Under 15",1,1
2020-07-18,"15 to 39",1,1
2020-07-18,"40 to 59",0,NA
2020-07-18,"60+",2,1
2020-07-19,"Under 15",0,NA
2020-07-19,"15 to 39",2,1
2020-07-19,"40 to 59",0,NA
